date,areaName,areaType,hospitalCases
2020-07-02,United Kingdom,overview,
2020-07-01,United Kingdom,overview,
2020-06-30,United Kingdom,overview,3539
2020-06-29,United Kingdom,overview,3862
2020-06-28,United Kingdom,overview,3700
2020-06-27,United Kingdom,overview,3684
2020-06-26,United Kingdom,overview,3817
2020-06-25,United Kingdom,overview,4037
2020-06-24,United Kingdom,overview,4218
2020-06-23,United Kingdom,overview,4270
2020-06-22,United Kingdom,overview,4384
2020-06-21,United Kingdom,overview,4376
2020-06-20,United Kingdom,overview,4397
2020-06-19,United Kingdom,overview,4599
2020-06-18,United Kingdom,overview,4726
2020-06-17,United Kingdom,overview,4879
2020-06-16,United Kingdom,overview,5013
2020-06-15,United Kingdom,overview,4987
2020-06-14,United Kingdom,overview,5043
2020-06-13,United Kingdom,overview,5120
2020-06-12,United Kingdom,overview,5229
2020-06-11,United Kingdom,overview,5300
2020-06-10,United Kingdom,overview,5519
2020-06-09,United Kingdom,overview,5775
2020-06-08,United Kingdom,overview,5941
2020-06-07,United Kingdom,overview,6011
2020-06-06,United Kingdom,overview,6303
2020-06-05,United Kingdom,overview,6471
2020-06-04,United Kingdom,overview,6685
2020-06-03,United Kingdom,overview,6883
2020-06-02,United Kingdom,overview,7067
2020-06-01,United Kingdom,overview,7189
2020-05-31,United Kingdom,overview,7134
2020-05-30,United Kingdom,overview,7232
2020-05-29,United Kingdom,overview,7505
2020-05-28,United Kingdom,overview,7834
2020-05-27,United Kingdom,overview,8078
2020-05-26,United Kingdom,overview,8379
2020-05-25,United Kingdom,overview,8396
2020-05-24,United Kingdom,overview,8426
2020-05-23,United Kingdom,overview,8525
2020-05-22,United Kingdom,overview,8861
2020-05-21,United Kingdom,overview,8841
2020-05-20,United Kingdom,overview,9035
2020-05-19,United Kingdom,overview,9472
2020-05-18,United Kingdom,overview,9558
2020-05-17,United Kingdom,overview,9598
2020-05-16,United Kingdom,overview,9594
2020-05-15,United Kingdom,overview,10001
2020-05-14,United Kingdom,overview,10232
2020-05-13,United Kingdom,overview,10572
2020-05-12,United Kingdom,overview,10881
2020-05-11,United Kingdom,overview,11158
2020-05-10,United Kingdom,overview,10983
2020-05-09,United Kingdom,overview,11315
2020-05-08,United Kingdom,overview,11381
2020-05-07,United Kingdom,overview,11735
2020-05-06,United Kingdom,overview,12223
2020-05-05,United Kingdom,overview,12715
2020-05-04,United Kingdom,overview,13022
2020-05-03,United Kingdom,overview,13120
2020-05-02,United Kingdom,overview,13369
2020-05-01,United Kingdom,overview,13626
2020-04-30,United Kingdom,overview,14094
2020-04-29,United Kingdom,overview,14423
2020-04-28,United Kingdom,overview,14706
2020-04-27,United Kingdom,overview,15356
2020-04-26,United Kingdom,overview,15297
2020-04-25,United Kingdom,overview,15427
2020-04-24,United Kingdom,overview,15908
2020-04-23,United Kingdom,overview,16548
2020-04-22,United Kingdom,overview,16857
2020-04-21,United Kingdom,overview,17383
2020-04-20,United Kingdom,overview,17684
2020-04-19,United Kingdom,overview,17841
2020-04-18,United Kingdom,overview,17892
2020-04-17,United Kingdom,overview,17721
2020-04-16,United Kingdom,overview,18659
2020-04-15,United Kingdom,overview,18876
2020-04-14,United Kingdom,overview,19528
2020-04-13,United Kingdom,overview,19686
2020-04-12,United Kingdom,overview,20218
2020-04-11,United Kingdom,overview,19860
2020-04-10,United Kingdom,overview,20036
2020-04-09,United Kingdom,overview,19897
2020-04-08,United Kingdom,overview,19705
2020-04-07,United Kingdom,overview,19296
2020-04-06,United Kingdom,overview,18593
2020-04-05,United Kingdom,overview,18127
2020-04-04,United Kingdom,overview,16925
2020-04-03,United Kingdom,overview,15091
2020-04-02,United Kingdom,overview,13605
2020-04-01,United Kingdom,overview,13510
2020-03-31,United Kingdom,overview,12546
2020-03-30,United Kingdom,overview,10970
2020-03-29,United Kingdom,overview,9444
2020-03-28,United Kingdom,overview,8263
2020-03-27,United Kingdom,overview,7257
2020-03-26,United Kingdom,overview,
2020-03-25,United Kingdom,overview,
2020-03-24,United Kingdom,overview,
2020-03-23,United Kingdom,overview,
2020-03-22,United Kingdom,overview,
2020-03-21,United Kingdom,overview,
2020-03-20,United Kingdom,overview,
2020-03-19,United Kingdom,overview,
2020-03-18,United Kingdom,overview,
2020-03-17,United Kingdom,overview,
2020-03-16,United Kingdom,overview,
2020-03-15,United Kingdom,overview,
2020-03-14,United Kingdom,overview,
2020-03-13,United Kingdom,overview,
2020-03-12,United Kingdom,overview,
2020-03-11,United Kingdom,overview,
2020-03-10,United Kingdom,overview,
2020-03-09,United Kingdom,overview,
2020-03-08,United Kingdom,overview,
2020-03-07,United Kingdom,overview,
2020-03-06,United Kingdom,overview,
