date,areaName,areaType,newDeathsByPublishDate,cumDeathsByPublishDate
2020-07-02,United Kingdom,overview,89,43995
2020-07-01,United Kingdom,overview,176,43906
2020-06-30,United Kingdom,overview,155,43730
2020-06-29,United Kingdom,overview,25,43575
2020-06-28,United Kingdom,overview,36,43550
2020-06-27,United Kingdom,overview,100,43514
2020-06-26,United Kingdom,overview,184,43414
2020-06-25,United Kingdom,overview,149,43230
2020-06-24,United Kingdom,overview,154,43081
2020-06-23,United Kingdom,overview,171,42927
2020-06-22,United Kingdom,overview,15,42756
2020-06-21,United Kingdom,overview,43,42741
2020-06-20,United Kingdom,overview,130,42698
2020-06-19,United Kingdom,overview,173,42568
2020-06-18,United Kingdom,overview,137,42395
2020-06-17,United Kingdom,overview,184,42258
2020-06-16,United Kingdom,overview,236,42074
2020-06-15,United Kingdom,overview,38,41838
2020-06-14,United Kingdom,overview,36,41800
2020-06-13,United Kingdom,overview,183,41764
2020-06-12,United Kingdom,overview,204,41581
2020-06-11,United Kingdom,overview,152,41377
2020-06-10,United Kingdom,overview,250,41225
2020-06-09,United Kingdom,overview,289,40975
2020-06-08,United Kingdom,overview,55,40686
2020-06-07,United Kingdom,overview,77,40631
2020-06-06,United Kingdom,overview,207,40554
2020-06-05,United Kingdom,overview,358,40347
2020-06-04,United Kingdom,overview,177,39989
2020-06-03,United Kingdom,overview,365,39812
2020-06-02,United Kingdom,overview,326,39447
2020-06-01,United Kingdom,overview,111,39121
2020-05-31,United Kingdom,overview,115,39010
2020-05-30,United Kingdom,overview,230,38895
2020-05-29,United Kingdom,overview,373,38665
2020-05-28,United Kingdom,overview,416,38292
2020-05-27,United Kingdom,overview,443,37876
2020-05-26,United Kingdom,overview,136,37433
2020-05-25,United Kingdom,overview,122,37297
2020-05-24,United Kingdom,overview,441,37175
2020-05-23,United Kingdom,overview,283,36734
2020-05-22,United Kingdom,overview,358,36451
2020-05-21,United Kingdom,overview,338,36093
2020-05-20,United Kingdom,overview,369,35755
2020-05-19,United Kingdom,overview,548,35386
2020-05-18,United Kingdom,overview,160,34838
2020-05-17,United Kingdom,overview,170,34678
2020-05-16,United Kingdom,overview,480,34508
2020-05-15,United Kingdom,overview,384,34028
2020-05-14,United Kingdom,overview,428,33644
2020-05-13,United Kingdom,overview,496,33216
2020-05-12,United Kingdom,overview,630,32720
2020-05-11,United Kingdom,overview,211,32090
2020-05-10,United Kingdom,overview,269,31879
2020-05-09,United Kingdom,overview,346,31611
2020-05-08,United Kingdom,overview,627,31265
2020-05-07,United Kingdom,overview,540,30638
2020-05-06,United Kingdom,overview,652,30098
2020-05-05,United Kingdom,overview,694,29446
2020-05-04,United Kingdom,overview,288,28752
2020-05-03,United Kingdom,overview,315,28464
2020-05-02,United Kingdom,overview,621,28149
2020-05-01,United Kingdom,overview,740,27528
2020-04-30,United Kingdom,overview,674,26788
2020-04-29,United Kingdom,overview,765,26114
2020-04-28,United Kingdom,overview,911,25319
2020-04-27,United Kingdom,overview,338,24408
2020-04-26,United Kingdom,overview,420,24070
2020-04-25,United Kingdom,overview,843,23650
2020-04-24,United Kingdom,overview,1006,22807
2020-04-23,United Kingdom,overview,727,21801
2020-04-22,United Kingdom,overview,837,21074
2020-04-21,United Kingdom,overview,1173,20237
2020-04-20,United Kingdom,overview,559,19064
2020-04-19,United Kingdom,overview,498,18505
2020-04-18,United Kingdom,overview,1115,18007
2020-04-17,United Kingdom,overview,936,16892
2020-04-16,United Kingdom,overview,1029,15956
2020-04-15,United Kingdom,overview,842,14927
2020-04-14,United Kingdom,overview,1047,14085
2020-04-13,United Kingdom,overview,744,13038
2020-04-12,United Kingdom,overview,686,12294
2020-04-11,United Kingdom,overview,840,11608
2020-04-10,United Kingdom,overview,1152,10768
2020-04-09,United Kingdom,overview,1110,9616
2020-04-08,United Kingdom,overview,1034,8506
2020-04-07,United Kingdom,overview,1038,7472
2020-04-06,United Kingdom,overview,568,6434
2020-04-05,United Kingdom,overview,644,5866
2020-04-04,United Kingdom,overview,760,5222
2020-04-03,United Kingdom,overview,714,4462
2020-04-02,United Kingdom,overview,652,3748
2020-04-01,United Kingdom,overview,670,3096
2020-03-31,United Kingdom,overview,382,2426
2020-03-30,United Kingdom,overview,374,2044
2020-03-29,United Kingdom,overview,214,1670
2020-03-28,United Kingdom,overview,294,1456
2020-03-27,United Kingdom,overview,284,1162
2020-03-26,United Kingdom,overview,183,878
2020-03-25,United Kingdom,overview,187,695
2020-03-24,United Kingdom,overview,149,508
2020-03-23,United Kingdom,overview,74,359
2020-03-22,United Kingdom,overview,35,285
2020-03-21,United Kingdom,overview,56,250
2020-03-20,United Kingdom,overview,36,194
2020-03-19,United Kingdom,overview,43,158
2020-03-18,United Kingdom,overview,34,115
2020-03-17,United Kingdom,overview,16,81
2020-03-16,United Kingdom,overview,22,65
2020-03-15,United Kingdom,overview,15,43
2020-03-14,United Kingdom,overview,18,28
2020-03-13,United Kingdom,overview,1,10
2020-03-12,United Kingdom,overview,2,9
2020-03-11,United Kingdom,overview,0,7
2020-03-10,United Kingdom,overview,4,7
2020-03-09,United Kingdom,overview,1,3
2020-03-08,United Kingdom,overview,0,2
2020-03-07,United Kingdom,overview,1,2
2020-03-06,United Kingdom,overview,1,1
