date,areaName,areaType,covidOccupiedMVBeds
2020-07-02,United Kingdom,overview,
2020-07-01,United Kingdom,overview,259
2020-06-30,United Kingdom,overview,279
2020-06-29,United Kingdom,overview,262
2020-06-28,United Kingdom,overview,270
2020-06-27,United Kingdom,overview,270
2020-06-26,United Kingdom,overview,268
2020-06-25,United Kingdom,overview,276
2020-06-24,United Kingdom,overview,316
2020-06-23,United Kingdom,overview,311
2020-06-22,United Kingdom,overview,340
2020-06-21,United Kingdom,overview,310
2020-06-20,United Kingdom,overview,315
2020-06-19,United Kingdom,overview,330
2020-06-18,United Kingdom,overview,352
2020-06-17,United Kingdom,overview,357
2020-06-16,United Kingdom,overview,378
2020-06-15,United Kingdom,overview,385
2020-06-14,United Kingdom,overview,393
2020-06-13,United Kingdom,overview,390
2020-06-12,United Kingdom,overview,393
2020-06-11,United Kingdom,overview,390
2020-06-10,United Kingdom,overview,439
2020-06-09,United Kingdom,overview,491
2020-06-08,United Kingdom,overview,509
2020-06-07,United Kingdom,overview,515
2020-06-06,United Kingdom,overview,540
2020-06-05,United Kingdom,overview,554
2020-06-04,United Kingdom,overview,571
2020-06-03,United Kingdom,overview,602
2020-06-02,United Kingdom,overview,636
2020-06-01,United Kingdom,overview,652
2020-05-31,United Kingdom,overview,679
2020-05-30,United Kingdom,overview,704
2020-05-29,United Kingdom,overview,719
2020-05-28,United Kingdom,overview,751
2020-05-27,United Kingdom,overview,783
2020-05-26,United Kingdom,overview,847
2020-05-25,United Kingdom,overview,863
2020-05-24,United Kingdom,overview,886
2020-05-23,United Kingdom,overview,926
2020-05-22,United Kingdom,overview,964
2020-05-21,United Kingdom,overview,1008
2020-05-20,United Kingdom,overview,1034
2020-05-19,United Kingdom,overview,1106
2020-05-18,United Kingdom,overview,1141
2020-05-17,United Kingdom,overview,1196
2020-05-16,United Kingdom,overview,1234
2020-05-15,United Kingdom,overview,1302
2020-05-14,United Kingdom,overview,1314
2020-05-13,United Kingdom,overview,1342
2020-05-12,United Kingdom,overview,1414
2020-05-11,United Kingdom,overview,1485
2020-05-10,United Kingdom,overview,1538
2020-05-09,United Kingdom,overview,1585
2020-05-08,United Kingdom,overview,1641
2020-05-07,United Kingdom,overview,1685
2020-05-06,United Kingdom,overview,1802
2020-05-05,United Kingdom,overview,1874
2020-05-04,United Kingdom,overview,1936
2020-05-03,United Kingdom,overview,2009
2020-05-02,United Kingdom,overview,2068
2020-05-01,United Kingdom,overview,2178
2020-04-30,United Kingdom,overview,2224
2020-04-29,United Kingdom,overview,2286
2020-04-28,United Kingdom,overview,2347
2020-04-27,United Kingdom,overview,2454
2020-04-26,United Kingdom,overview,2580
2020-04-25,United Kingdom,overview,2702
2020-04-24,United Kingdom,overview,2703
2020-04-23,United Kingdom,overview,2867
2020-04-22,United Kingdom,overview,2964
2020-04-21,United Kingdom,overview,3036
2020-04-20,United Kingdom,overview,3130
2020-04-19,United Kingdom,overview,3176
2020-04-18,United Kingdom,overview,3247
2020-04-17,United Kingdom,overview,3162
2020-04-16,United Kingdom,overview,3222
2020-04-15,United Kingdom,overview,3228
2020-04-14,United Kingdom,overview,3234
2020-04-13,United Kingdom,overview,3277
2020-04-12,United Kingdom,overview,3301
2020-04-11,United Kingdom,overview,3274
2020-04-10,United Kingdom,overview,3228
2020-04-09,United Kingdom,overview,2963
2020-04-08,United Kingdom,overview,2967
2020-04-07,United Kingdom,overview,2864
2020-04-06,United Kingdom,overview,2644
2020-04-05,United Kingdom,overview,2469
2020-04-04,United Kingdom,overview,2309
2020-04-03,United Kingdom,overview,2120
2020-04-02,United Kingdom,overview,1813
2020-04-01,United Kingdom,overview,
2020-03-31,United Kingdom,overview,
2020-03-30,United Kingdom,overview,
2020-03-29,United Kingdom,overview,
2020-03-28,United Kingdom,overview,
2020-03-27,United Kingdom,overview,
2020-03-26,United Kingdom,overview,
2020-03-25,United Kingdom,overview,
2020-03-24,United Kingdom,overview,
2020-03-23,United Kingdom,overview,
2020-03-22,United Kingdom,overview,
2020-03-21,United Kingdom,overview,
2020-03-20,United Kingdom,overview,
2020-03-19,United Kingdom,overview,
2020-03-18,United Kingdom,overview,
2020-03-17,United Kingdom,overview,
2020-03-16,United Kingdom,overview,
2020-03-15,United Kingdom,overview,
2020-03-14,United Kingdom,overview,
2020-03-13,United Kingdom,overview,
2020-03-12,United Kingdom,overview,
2020-03-11,United Kingdom,overview,
2020-03-10,United Kingdom,overview,
2020-03-09,United Kingdom,overview,
2020-03-08,United Kingdom,overview,
2020-03-07,United Kingdom,overview,
2020-03-06,United Kingdom,overview,
